Occupation,standard,idfobject,Name,objectfield,Value,Comment
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_14,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.66166,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_14,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.99249,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_14,Air_Mass_Flow_Coefficient_at_Reference_Conditions,1.65415,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_14,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_14,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_14,Air_Mass_Flow_Exponent,0.75,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_14,Air_Mass_Flow_Exponent,0.75,
RT,ZEB,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.00001,
RT,efficient,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.00006,
RT,standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.00014,
RT,non-standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.001,
RT,ZEB,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.7,
RT,efficient,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_1,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.7,
